"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2844","18","1990"
"2","Kramnik, Vladimir","g","RUS","2801","9","1975"
"3","Giri, Anish","g","NED","2798","18","1994"
"4","Aronian, Levon","g","ARM","2792","9","1982"
"5","Caruana, Fabiano","g","USA","2787","9","1992"
"6","Nakamura, Hikaru","g","USA","2787","9","1987"
"7","Vachier-Lagrave, Maxime","g","FRA","2785","9","1990"
"8","Anand, Viswanathan","g","IND","2784","9","1969"
"9","Topalov, Veselin","g","BUL","2780","9","1975"
"10","So, Wesley","g","USA","2773","9","1993"
"11","Karjakin, Sergey","g","RUS","2769","10","1990"
"12","Ding, Liren","g","CHN","2766","6","1992"
"13","Eljanov, Pavel","g","UKR","2760","2","1983"
"14","Harikrishna, P.","g","IND","2755","15","1986"
"15","Grischuk, Alexander","g","RUS","2752","9","1983"
"16","Li, Chao b","g","CHN","2751","9","1989"
"17","Svidler, Peter","g","RUS","2751","2","1976"
"18","Yu, Yangyi","g","CHN","2747","17","1994"
"19","Mamedyarov, Shakhriyar","g","AZE","2747","13","1985"
"20","Adams, Michael","g","ENG","2744","9","1971"
"21","Gelfand, Boris","g","ISR","2735","4","1968"
"22","Jakovenko, Dmitry","g","RUS","2732","11","1983"
"23","Andreikin, Dmitry","g","RUS","2732","0","1990"
"24","Dominguez Perez, Leinier","g","CUB","2732","0","1983"
"25","Navara, David","g","CZE","2730","4","1985"
"26","Tomashevsky, Evgeny","g","RUS","2728","11","1987"
"27","Wojtaszek, Radoslaw","g","POL","2727","11","1987"
"28","Radjabov, Teimour","g","AZE","2726","0","1987"
"29","Bu, Xiangzhi","g","CHN","2724","10","1985"
"30","Vitiugov, Nikita","g","RUS","2721","9","1987"
"31","Rapport, Richard","g","HUN","2721","3","1996"
"32","Wang, Yue","g","CHN","2718","7","1987"
"33","Le, Quang Liem","g","VIE","2718","0","1991"
"34","Ponomariov, Ruslan","g","UKR","2712","9","1983"
"35","Korobov, Anton","g","UKR","2710","11","1985"
"36","Ivanchuk, Vassily","g","UKR","2710","9","1969"
"37","Wei, Yi","g","CHN","2706","19","1999"
"38","Leko, Peter","g","HUN","2705","4","1979"
"39","Nepomniachtchi, Ian","g","RUS","2704","1","1990"
"40","Kasimdzhanov, Rustam","g","UZB","2702","0","1979"
"41","Sargissian, Gabriel","g","ARM","2702","0","1983"
"42","Fressinet, Laurent","g","FRA","2700","3","1981"
"43","Ni, Hua","g","CHN","2697","14","1983"
"44","Bacrot, Etienne","g","FRA","2697","2","1983"
"45","Naiditsch, Arkadij","g","AZE","2696","2","1985"
"46","Kryvoruchko, Yuriy","g","UKR","2695","11","1986"
"47","Wang, Hao","g","CHN","2695","4","1989"
"48","Hammer, Jon Ludvig","g","NOR","2695","0","1990"
"49","Rublevsky, Sergei","g","RUS","2692","0","1974"
"50","Ragger, Markus","g","AUT","2689","3","1988"
"51","Malakhov, Vladimir","g","RUS","2687","4","1980"
"52","Howell, David W L","g","ENG","2685","19","1990"
"53","Rodshtein, Maxim","g","ISR","2685","4","1989"
"54","Almasi, Zoltan","g","HUN","2684","2","1976"
"55","Short, Nigel D","g","ENG","2684","0","1965"
"56","Granda Zuniga, Julio E","g","PER","2683","9","1967"
"57","Morozevich, Alexander","g","RUS","2683","4","1977"
"58","Matlakov, Maxim","g","RUS","2682","9","1991"
"59","Cheparinov, Ivan","g","BUL","2682","0","1986"
"60","Kovalenko, Igor","g","LAT","2680","0","1988"
"61","Nisipeanu, Liviu-Dieter","g","GER","2679","2","1976"
"62","Inarkiev, Ernesto","g","RUS","2676","4","1985"
"63","Vallejo Pons, Francisco","g","ESP","2675","2","1982"
"64","Bareev, Evgeny","g","CAN","2675","0","1966"
"65","Najer, Evgeniy","g","RUS","2674","6","1977"
"66","Artemiev, Vladislav","g","RUS","2673","15","1998"
"67","Moiseenko, Alexander","g","UKR","2673","12","1980"
"68","Hou, Yifan","g","CHN","2673","9","1994"
"69","Jobava, Baadur","g","GEO","2673","0","1983"
"70","Areshchenko, Alexander","g","UKR","2671","11","1986"
"71","McShane, Luke J","g","ENG","2671","4","1984"
"72","Shirov, Alexei","g","LAT","2671","2","1972"
"73","Postny, Evgeny","g","ISR","2670","18","1981"
"74","Lysyj, Igor","g","RUS","2668","4","1987"
"75","Sjugirov, Sanan","g","RUS","2667","18","1993"
"76","Bruzon Batista, Lazaro","g","CUB","2666","0","1982"
"77","Kamsky, Gata","g","USA","2665","12","1974"
"78","Ivanisevic, Ivan","g","SRB","2665","2","1977"
"79","Amin, Bassem","g","EGY","2665","0","1988"
"80","Fedoseev, Vladimir","g","RUS","2664","15","1995"
"81","Swiercz, Dariusz","g","POL","2664","11","1994"
"82","Laznicka, Viktor","g","CZE","2664","4","1988"
"83","Negi, Parimarjan","g","IND","2664","0","1993"
"84","Onischuk, Alexander","g","USA","2664","0","1975"
"85","Sadler, Matthew D","g","ENG","2662","0","1974"
"86","Zvjaginsev, Vadim","g","RUS","2662","0","1976"
"87","Duda, Jan-Krzysztof","g","POL","2660","12","1998"
"88","Ganguly, Surya Shekhar","g","IND","2660","9","1983"
"89","Meier, Georg","g","GER","2660","0","1987"
"90","Tkachiev, Vladislav","g","FRA","2660","0","1973"
"91","Robson, Ray","g","USA","2659","0","1994"
"92","Bukavshin, Ivan","g","RUS","2658","21","1995"
"93","Smirin, Ilia","g","ISR","2658","0","1968"
"94","Efimenko, Zahar","g","UKR","2656","11","1985"
"95","Akopian, Vladimir","g","ARM","2656","9","1971"
"96","Motylev, Alexander","g","RUS","2656","4","1979"
"97","Movsesian, Sergei","g","ARM","2655","2","1978"
"98","Zhigalko, Sergei","g","BLR","2655","0","1989"
"99","Bologan, Viktor","g","MDA","2654","9","1971"
"100","Adhiban, B.","g","IND","2653","9","1992"
"101","Safarli, Eltaj","g","AZE","2653","0","1992"
