"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2853","0","1990"
"2","Anand, Viswanathan","g","IND","2816","0","1969"
"3","Topalov, Veselin","g","BUL","2816","0","1975"
"4","Nakamura, Hikaru","g","USA","2814","0","1987"
"5","Caruana, Fabiano","g","USA","2808","7","1992"
"6","Giri, Anish","g","NED","2793","7","1994"
"7","So, Wesley","g","USA","2779","7","1993"
"8","Kramnik, Vladimir","g","RUS","2777","7","1975"
"9","Grischuk, Alexander","g","RUS","2771","0","1983"
"10","Ding, Liren","g","CHN","2770","17","1992"
"11","Aronian, Levon","g","ARM","2765","0","1982"
"12","Jakovenko, Dmitry","g","RUS","2759","2","1983"
"13","Karjakin, Sergey","g","RUS","2753","0","1990"
"14","Li, Chao b","g","CHN","2748","0","1989"
"15","Tomashevsky, Evgeny","g","RUS","2747","2","1987"
"16","Gelfand, Boris","g","ISR","2741","4","1968"
"17","Harikrishna, P.","g","IND","2740","9","1986"
"18","Adams, Michael","g","ENG","2740","0","1971"
"19","Svidler, Peter","g","RUS","2739","5","1976"
"20","Radjabov, Teimour","g","AZE","2738","0","1987"
"21","Dominguez Perez, Leinier","g","CUB","2736","0","1983"
"22","Mamedyarov, Shakhriyar","g","AZE","2735","0","1985"
"23","Wojtaszek, Radoslaw","g","POL","2733","0","1987"
"24","Vachier-Lagrave, Maxime","g","FRA","2731","0","1990"
"25","Yu, Yangyi","g","CHN","2726","18","1994"
"26","Ivanchuk, Vassily","g","UKR","2726","11","1969"
"27","Wei, Yi","g","CHN","2725","18","1999"
"28","Navara, David","g","CZE","2724","0","1985"
"29","Eljanov, Pavel","g","UKR","2723","0","1983"
"30","Wang, Yue","g","CHN","2721","13","1987"
"31","Andreikin, Dmitry","g","RUS","2720","2","1990"
"32","Vitiugov, Nikita","g","RUS","2719","5","1987"
"33","Leko, Peter","g","HUN","2714","0","1979"
"34","Ni, Hua","g","CHN","2713","12","1983"
"35","Bu, Xiangzhi","g","CHN","2712","18","1985"
"36","Howell, David W L","g","ENG","2712","9","1990"
"37","Morozevich, Alexander","g","RUS","2711","0","1977"
"38","Ponomariov, Ruslan","g","UKR","2711","0","1983"
"39","Fressinet, Laurent","g","FRA","2710","9","1981"
"40","Moiseenko, Alexander","g","UKR","2710","0","1980"
"41","Wang, Hao","g","CHN","2705","13","1989"
"42","Nepomniachtchi, Ian","g","RUS","2705","7","1990"
"43","Kasimdzhanov, Rustam","g","UZB","2704","0","1979"
"44","Kovalenko, Igor","g","LAT","2702","9","1988"
"45","Rublevsky, Sergei","g","RUS","2702","0","1974"
"46","Shirov, Alexei","g","LAT","2702","0","1972"
"47","Almasi, Zoltan","g","HUN","2700","0","1976"
"48","Korobov, Anton","g","UKR","2699","0","1985"
"49","Le, Quang Liem","g","VIE","2699","0","1991"
"50","Kryvoruchko, Yuriy","g","UKR","2697","2","1986"
"51","Bacrot, Etienne","g","FRA","2694","9","1983"
"52","Cheparinov, Ivan","g","BUL","2690","9","1986"
"53","Matlakov, Maxim","g","RUS","2689","14","1991"
"54","Ragger, Markus","g","AUT","2688","0","1988"
"55","Vallejo Pons, Francisco","g","ESP","2686","0","1982"
"56","Naiditsch, Arkadij","g","AZE","2685","7","1985"
"57","Malakhov, Vladimir","g","RUS","2683","13","1980"
"58","Robson, Ray","g","USA","2680","0","1994"
"59","Short, Nigel D","g","ENG","2678","11","1965"
"60","Rodshtein, Maxim","g","ISR","2678","10","1989"
"61","Hammer, Jon Ludvig","g","NOR","2677","0","1990"
"62","Polgar, Judit","g","HUN","2675","0","1976"
"63","McShane, Luke J","g","ENG","2674","18","1984"
"64","Lysyj, Igor","g","RUS","2673","4","1987"
"65","Sargissian, Gabriel","g","ARM","2673","0","1983"
"66","Artemiev, Vladislav","g","RUS","2671","18","1998"
"67","Hou, Yifan","g","CHN","2671","7","1994"
"68","Rapport, Richard","g","HUN","2671","0","1996"
"69","Kamsky, Gata","g","USA","2670","18","1974"
"70","Smirin, Ilia","g","ISR","2669","9","1968"
"71","Nisipeanu, Liviu-Dieter","g","GER","2667","7","1976"
"72","Laznicka, Viktor","g","CZE","2665","9","1988"
"73","Jobava, Baadur","g","GEO","2664","9","1983"
"74","Sjugirov, Sanan","g","RUS","2664","9","1993"
"75","Negi, Parimarjan","g","IND","2664","0","1993"
"76","Granda Zuniga, Julio E","g","PER","2663","19","1967"
"77","Khairullin, Ildar","g","RUS","2662","9","1990"
"78","Ivanisevic, Ivan","g","SRB","2662","6","1977"
"79","Nguyen, Ngoc Truong Son","g","VIE","2662","0","1990"
"80","Onischuk, Alexander","g","USA","2662","0","1975"
"81","Areshchenko, Alexander","g","UKR","2661","9","1986"
"82","Saric, Ivan","g","CRO","2661","9","1990"
"83","Tkachiev, Vladislav","g","FRA","2661","0","1973"
"84","Inarkiev, Ernesto","g","RUS","2660","13","1985"
"85","Fedoseev, Vladimir","g","RUS","2659","14","1995"
"86","Berkes, Ferenc","g","HUN","2659","10","1985"
"87","Bruzon Batista, Lazaro","g","CUB","2659","9","1982"
"88","Balogh, Csaba","g","HUN","2659","0","1987"
"89","Sadler, Matthew D","g","ENG","2659","0","1974"
"90","Motylev, Alexander","g","RUS","2658","9","1979"
"91","Najer, Evgeniy","g","RUS","2658","9","1977"
"92","Bukavshin, Ivan","g","RUS","2655","9","1995"
"93","Shankland, Samuel L","g","USA","2655","9","1991"
"94","Nielsen, Peter Heine","g","DEN","2655","0","1973"
"95","Dubov, Daniil","g","RUS","2654","14","1996"
"96","Zvjaginsev, Vadim","g","RUS","2654","9","1976"
"97","Van Wely, Loek","g","NED","2654","7","1972"
"98","Zhigalko, Sergei","g","BLR","2654","0","1989"
"99","Fedorchuk, Sergey A.","g","UKR","2653","27","1981"
"100","Popov, Ivan","g","RUS","2653","9","1990"
"101","Movsesian, Sergei","g","ARM","2653","0","1978"
