Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2881,10,1990
2,Aronian Levon,g,ARM,2815,0,1982
3,Grischuk Alexander,g,RUS,2792,0,1983
4,Caruana Fabiano,g,ITA,2791,13,1992
5,Anand Viswanathan,g,IND,2785,0,1969
6,Kramnik Vladimir,g,RUS,2783,0,1975
7,Nakamura Hikaru,g,USA,2775,12,1987
8,Topalov Veselin,g,BUL,2772,0,1975
9,Karjakin Sergey,g,RUS,2771,10,1990
10,Vachier-Lagrave Maxime,g,FRA,2762,5,1990
11,Dominguez Perez Leinier,g,CUB,2760,10,1983
12,Gelfand Boris,g,ISR,2753,0,1968
13,Svidler Peter,g,RUS,2753,0,1976
14,Giri Anish,g,NED,2752,3,1994
15,So Wesley,g,PHI,2744,10,1993
16,Mamedyarov Shakhriyar,g,AZE,2743,10,1985
17,Adams Michael,g,ENG,2743,3,1971
18,Vitiugov Nikita,g,RUS,2742,0,1987
19,Ivanchuk Vassily,g,UKR,2738,10,1969
20,Leko Peter,g,HUN,2737,0,1979
21,Jakovenko Dmitry,g,RUS,2736,9,1983
22,Morozevich Alexander,g,RUS,2731,9,1977
23,Nepomniachtchi Ian,g,RUS,2730,9,1990
24,Wang Hao,g,CHN,2729,9,1989
25,Harikrishna P.,g,IND,2726,0,1986
26,Navara David,g,CZE,2724,12,1985
27,Radjabov Teimour,g,AZE,2724,10,1987
28,Eljanov Pavel,g,UKR,2723,18,1983
29,Ponomariov Ruslan,g,UKR,2723,0,1983
30,Andreikin Dmitry,g,RUS,2722,0,1990
31,Bacrot Etienne,g,FRA,2720,18,1983
32,Fressinet Laurent,g,FRA,2717,12,1981
33,Wojtaszek Radoslaw,g,POL,2715,12,1987
34,Ding Liren,g,CHN,2714,0,1992
35,Jobava Baadur,g,GEO,2713,1,1983
36,Wang Yue,g,CHN,2713,0,1987
37,Kamsky Gata,g,USA,2712,11,1974
38,Le Quang Liem,g,VIE,2712,0,1991
39,Li Chao b,g,CHN,2711,0,1989
40,Shirov Alexei,g,LAT,2709,11,1972
41,Kryvoruchko Yuriy,g,UKR,2707,3,1986
42,Moiseenko Alexander,g,UKR,2707,0,1980
43,Naiditsch Arkadij,g,GER,2705,2,1985
44,Edouard Romain,g,FRA,2702,10,1990
45,Areshchenko Alexander,g,UKR,2701,0,1986
46,Rapport Richard,g,HUN,2701,0,1996
47,Kasimdzhanov Rustam,g,UZB,2700,0,1979
48,Vallejo Pons Francisco,g,ESP,2698,10,1982
49,Rublevsky Sergei,g,RUS,2698,0,1974
50,Motylev Alexander,g,RUS,2696,18,1979
51,Nisipeanu Liviu-Dieter,g,GER,2696,2,1976
52,Tomashevsky Evgeny,g,RUS,2695,0,1987
53,Bruzon Batista Lazaro,g,CUB,2694,10,1982
54,Malakhov Vladimir,g,RUS,2694,0,1980
55,Bu Xiangzhi,g,CHN,2693,0,1985
56,Almasi Zoltan,g,HUN,2692,10,1976
57,Riazantsev Alexander,g,RUS,2692,0,1985
58,Matlakov Maxim,g,RUS,2689,0,1991
59,Sargissian Gabriel,g,ARM,2686,9,1983
60,Polgar Judit,g,HUN,2685,0,1976
61,Cheparinov Ivan,g,BUL,2682,9,1986
62,Inarkiev Ernesto,g,RUS,2682,0,1985
63,Korobov Anton,g,UKR,2680,9,1985
64,Laznicka Viktor,g,CZE,2679,3,1988
65,Zhigalko Sergei,g,BLR,2678,12,1989
66,Yu Yangyi,g,CHN,2675,0,1994
67,Granda Zuniga Julio E,g,PER,2674,9,1967
68,Alekseev Evgeny,g,RUS,2673,0,1985
69,Movsesian Sergei,g,ARM,2672,0,1978
70,Rodshtein Maxim,g,ISR,2672,0,1989
71,Khismatullin Denis,g,RUS,2671,9,1984
72,Saric Ivan,g,CRO,2671,9,1990
73,Lysyj Igor,g,RUS,2670,9,1987
74,McShane Luke J,g,ENG,2670,1,1984
75,Sasikiran Krishnan,g,IND,2669,0,1981
76,Istratescu Andrei,g,FRA,2668,10,1975
77,Akopian Vladimir,g,ARM,2667,0,1971
78,Dreev Aleksey,g,RUS,2667,0,1969
79,Short Nigel D,g,ENG,2665,3,1965
80,Berkes Ferenc,g,HUN,2665,0,1985
81,Landa Konstantin,g,RUS,2662,3,1972
82,Fedoseev Vladimir,g,RUS,2662,0,1995
83,Bologan Viktor,g,MDA,2661,9,1971
84,Grachev Boris,g,RUS,2661,5,1986
85,Smirin Ilia,g,ISR,2660,0,1968
86,Mamedov Rauf,g,AZE,2659,18,1988
87,Onischuk Alexander,g,USA,2659,11,1975
88,Gharamian Tigran,g,FRA,2659,9,1984
89,Lenic Luka,g,SLO,2659,7,1988
90,Kuzubov Yuriy,g,UKR,2656,9,1990
91,Tiviakov Sergei,g,NED,2656,9,1973
92,Fedorchuk Sergey A.,g,UKR,2655,10,1981
93,Jones Gawain C B,g,ENG,2654,3,1987
94,Van Wely Loek,g,NED,2654,3,1972
95,Nielsen Peter Heine,g,DEN,2654,0,1973
96,Akobian Varuzhan,g,USA,2653,11,1983
97,Iturrizaga Bonelli Eduardo,g,VEN,2653,9,1989
98,Sadler Matthew D,g,ENG,2653,3,1974
99,Najer Evgeniy,g,RUS,2653,0,1977
100,Ni Hua,g,CHN,2653,0,1983
