Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2863,0,1990
2,Caruana Fabiano,g,ITA,2802,0,1992
3,Nakamura Hikaru,g,USA,2798,0,1987
4,Topalov Veselin,g,BUL,2798,0,1975
5,Grischuk Alexander,g,RUS,2794,0,1983
6,Anand Viswanathan,g,IND,2791,0,1969
7,Giri Anish,g,NED,2790,0,1994
8,So Wesley,g,USA,2788,0,1993
9,Kramnik Vladimir,g,RUS,2783,0,1975
10,Aronian Levon,g,ARM,2770,0,1982
11,Vachier-Lagrave Maxime,g,FRA,2762,2,1990
12,Karjakin Sergey,g,RUS,2757,0,1990
13,Mamedyarov Shakhriyar,g,AZE,2754,10,1985
14,Ding Liren,g,CHN,2751,8,1992
15,Gelfand Boris,g,ISR,2747,0,1968
16,Adams Michael,g,ENG,2746,2,1971
17,Tomashevsky Evgeny,g,RUS,2745,0,1987
18,Navara David,g,CZE,2744,29,1985
19,Jakovenko Dmitry,g,RUS,2744,2,1983
20,Wojtaszek Radoslaw,g,POL,2738,2,1987
21,Radjabov Teimour,g,AZE,2738,0,1987
22,Vitiugov Nikita,g,RUS,2736,13,1987
23,Svidler Peter,g,RUS,2734,2,1976
24,Eljanov Pavel,g,UKR,2733,21,1983
25,Harikrishna P.,g,IND,2731,5,1986
26,Ivanchuk Vassily,g,UKR,2731,0,1969
27,Li Chao b,g,CHN,2730,20,1989
28,Dominguez Perez Leinier,g,CUB,2729,0,1983
29,Wang Yue,g,CHN,2726,0,1987
30,Yu Yangyi,g,CHN,2724,0,1994
31,Andreikin Dmitry,g,RUS,2723,0,1990
32,Naiditsch Arkadij,g,GER,2720,3,1985
33,Nepomniachtchi Ian,g,RUS,2716,11,1990
34,Ponomariov Ruslan,g,UKR,2714,3,1983
35,Leko Peter,g,HUN,2713,0,1979
36,Wang Hao,g,CHN,2713,0,1989
37,Fressinet Laurent,g,FRA,2712,2,1981
38,Kasimdzhanov Rustam,g,UZB,2712,0,1979
39,Morozevich Alexander,g,RUS,2711,0,1977
40,Rapport Richard,g,HUN,2710,4,1996
41,Korobov Anton,g,UKR,2707,13,1985
42,Bacrot Etienne,g,FRA,2706,13,1983
43,Malakhov Vladimir,g,RUS,2706,0,1980
44,Ni Hua,g,CHN,2704,0,1983
45,Wei Yi,g,CHN,2703,8,1999
46,Matlakov Maxim,g,RUS,2699,11,1991
47,Jobava Baadur,g,GEO,2699,0,1983
48,Almasi Zoltan,g,HUN,2698,2,1976
49,Rublevsky Sergei,g,RUS,2698,0,1974
50,Moiseenko Alexander,g,UKR,2697,11,1980
51,Vallejo Pons Francisco,g,ESP,2696,11,1982
52,Le Quang Liem,g,VIE,2693,18,1991
53,Shirov Alexei,g,LAT,2691,7,1972
54,Bruzon Batista Lazaro,g,CUB,2691,0,1982
55,Lysyj Igor,g,RUS,2691,0,1987
56,Inarkiev Ernesto,g,RUS,2690,13,1985
57,Howell David W L,g,ENG,2687,13,1990
58,Kryvoruchko Yuriy,g,UKR,2686,15,1986
59,Hou Yifan,g,CHN,2686,0,1994
60,McShane Luke J,g,ENG,2685,1,1984
61,Bu Xiangzhi,g,CHN,2681,0,1985
62,Cheparinov Ivan,g,BUL,2680,11,1986
63,Kamsky Gata,g,USA,2680,5,1974
64,Short Nigel D,g,ENG,2678,17,1965
65,Sjugirov Sanan,g,RUS,2677,11,1993
66,Polgar Judit,g,HUN,2675,0,1976
67,Sargissian Gabriel,g,ARM,2674,11,1983
68,Fedoseev Vladimir,g,RUS,2674,0,1995
69,Grachev Boris,g,RUS,2671,11,1986
70,Riazantsev Alexander,g,RUS,2671,11,1985
71,Artemiev Vladislav,g,RUS,2671,9,1998
72,Rodshtein Maxim,g,ISR,2667,13,1989
73,Movsesian Sergei,g,ARM,2665,22,1978
74,Kovalenko Igor,g,LAT,2665,15,1988
75,Onischuk Alexander,g,USA,2665,0,1975
76,Ragger Markus,g,AUT,2664,10,1988
77,Negi Parimarjan,g,IND,2664,0,1993
78,Najer Evgeniy,g,RUS,2663,19,1977
79,Van Wely Loek,g,NED,2663,1,1972
80,Laznicka Viktor,g,CZE,2662,23,1988
81,Nguyen Ngoc Truong Son,g,VIE,2662,18,1990
82,Tiviakov Sergei,g,NED,2662,9,1973
83,Berkes Ferenc,g,HUN,2661,2,1985
84,Shankland Samuel L,g,USA,2661,0,1991
85,Volokitin Andrei,g,UKR,2660,14,1986
86,Petrosian Tigran L.,g,ARM,2660,9,1984
87,Khismatullin Denis,g,RUS,2658,11,1984
88,Kuzubov Yuriy,g,UKR,2658,11,1990
89,Sadler Matthew D,g,ENG,2658,0,1974
90,Zvjaginsev Vadim,g,RUS,2658,0,1976
91,Zhigalko Sergei,g,BLR,2657,11,1989
92,Akopian Vladimir,g,ARM,2656,11,1971
93,Efimenko Zahar,g,UKR,2656,6,1985
94,Robson Ray,g,USA,2656,0,1994
95,Nielsen Peter Heine,g,DEN,2655,4,1973
96,Alekseev Evgeny,g,RUS,2654,13,1985
97,Vovk Andrey,g,UKR,2654,12,1991
98,Sasikiran Krishnan,g,IND,2654,10,1981
99,Kempinski Robert,g,POL,2653,18,1977
100,Motylev Alexander,g,RUS,2653,13,1979
101,Meier Georg,g,GER,2653,2,1987
