"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2876","9","1990"
"2","Anand, Viswanathan","g","IND","2804","9","1969"
"3","Caruana, Fabiano","g","ITA","2803","9","1992"
"4","Nakamura, Hikaru","g","USA","2799","11","1987"
"5","Topalov, Veselin","g","BUL","2798","0","1975"
"6","Grischuk, Alexander","g","RUS","2780","9","1983"
"7","So, Wesley","g","USA","2778","20","1993"
"8","Kramnik, Vladimir","g","RUS","2777","9","1975"
"9","Giri, Anish","g","NED","2776","10","1994"
"10","Aronian, Levon","g","ARM","2776","9","1982"
"11","Ding, Liren","g","CHN","2757","9","1992"
"12","Vachier-Lagrave, Maxime","g","FRA","2754","9","1990"
"13","Karjakin, Sergey","g","RUS","2753","8","1990"
"14","Navara, David","g","CZE","2751","6","1985"
"15","Tomashevsky, Evgeny","g","RUS","2749","8","1987"
"16","Li, Chao b","g","CHN","2748","11","1989"
"17","Wojtaszek, Radoslaw","g","POL","2746","2","1987"
"18","Gelfand, Boris","g","ISR","2744","9","1968"
"19","Adams, Michael","g","ENG","2740","11","1971"
"20","Jakovenko, Dmitry","g","RUS","2738","4","1983"
"21","Radjabov, Teimour","g","AZE","2738","0","1987"
"22","Vitiugov, Nikita","g","RUS","2736","7","1987"
"23","Mamedyarov, Shakhriyar","g","AZE","2735","18","1985"
"24","Dominguez Perez, Leinier","g","CUB","2734","9","1983"
"25","Svidler, Peter","g","RUS","2734","0","1976"
"26","Harikrishna, P.","g","IND","2733","9","1986"
"27","Ivanchuk, Vassily","g","UKR","2733","9","1969"
"28","Nepomniachtchi, Ian","g","RUS","2728","9","1990"
"29","Wang, Yue","g","CHN","2724","4","1987"
"30","Yu, Yangyi","g","CHN","2723","13","1994"
"31","Andreikin, Dmitry","g","RUS","2723","0","1990"
"32","Naiditsch, Arkadij","g","GER","2720","12","1985"
"33","Wei, Yi","g","CHN","2718","13","1999"
"34","Eljanov, Pavel","g","UKR","2718","9","1983"
"35","Kasimdzhanov, Rustam","g","UZB","2715","2","1979"
"36","Leko, Peter","g","HUN","2714","8","1979"
"37","Fressinet, Laurent","g","FRA","2712","0","1981"
"38","Ponomariov, Ruslan","g","UKR","2711","8","1983"
"39","Morozevich, Alexander","g","RUS","2711","0","1977"
"40","Wang, Hao","g","CHN","2710","10","1989"
"41","Korobov, Anton","g","UKR","2708","9","1985"
"42","Moiseenko, Alexander","g","UKR","2707","10","1980"
"43","Bacrot, Etienne","g","FRA","2704","11","1983"
