"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2850","9","1990"
"2","Nakamura, Hikaru","g","USA","2816","9","1987"
"3","Topalov, Veselin","g","BUL","2813","9","1975"
"4","Anand, Viswanathan","g","IND","2803","9","1969"
"5","Giri, Anish","g","NED","2798","9","1994"
"6","Caruana, Fabiano","g","USA","2796","9","1992"
"7","Aronian, Levon","g","ARM","2784","9","1982"
"8","Ding, Liren","g","CHN","2782","0","1992"
"9","Kramnik, Vladimir","g","RUS","2777","0","1975"
"10","Grischuk, Alexander","g","RUS","2774","9","1983"
"11","Karjakin, Sergey","g","RUS","2762","0","1990"
"12","So, Wesley","g","USA","2760","9","1993"
"13","Vachier-Lagrave, Maxime","g","FRA","2758","9","1990"
"14","Tomashevsky, Evgeny","g","RUS","2758","0","1987"
"15","Li, Chao b","g","CHN","2750","3","1989"
"16","Jakovenko, Dmitry","g","RUS","2748","0","1983"
"17","Adams, Michael","g","ENG","2742","0","1971"
"18","Gelfand, Boris","g","ISR","2741","0","1968"
"19","Radjabov, Teimour","g","AZE","2738","0","1987"
"20","Harikrishna, P.","g","IND","2737","0","1986"
"21","Mamedyarov, Shakhriyar","g","AZE","2736","0","1985"
"22","Navara, David","g","CZE","2734","3","1985"
"23","Wojtaszek, Radoslaw","g","POL","2734","3","1987"
"24","Wei, Yi","g","CHN","2734","0","1999"
"25","Dominguez Perez, Leinier","g","CUB","2732","0","1983"
"26","Svidler, Peter","g","RUS","2727","0","1976"
"27","Ivanchuk, Vassily","g","UKR","2726","0","1969"
"28","Vitiugov, Nikita","g","RUS","2725","0","1987"
"29","Wang, Yue","g","CHN","2724","0","1987"
"30","Yu, Yangyi","g","CHN","2721","0","1994"
"31","Andreikin, Dmitry","g","RUS","2720","0","1990"
"32","Eljanov, Pavel","g","UKR","2717","0","1983"
"33","Shirov, Alexei","g","LAT","2715","3","1972"
"34","Wang, Hao","g","CHN","2712","0","1989"
"35","Morozevich, Alexander","g","RUS","2711","0","1977"
"36","Kryvoruchko, Yuriy","g","UKR","2710","12","1986"
"37","Bu, Xiangzhi","g","CHN","2710","0","1985"
"38","Ponomariov, Ruslan","g","UKR","2710","0","1983"
"39","Leko, Peter","g","HUN","2707","0","1979"
"40","Howell, David W L","g","ENG","2705","0","1990"
"41","Nepomniachtchi, Ian","g","RUS","2705","0","1990"
