Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2868,14,1990
2,Aronian Levon,g,ARM,2813,16,1982
3,Kramnik Vladimir,g,RUS,2811,14,1975
4,Topalov Veselin,g,BUL,2793,11,1975
5,Anand Viswanathan,g,IND,2783,0,1969
6,Grischuk Alexander,g,RUS,2779,20,1983
7,Nakamura Hikaru,g,USA,2775,11,1987
8,Caruana Fabiano,g,ITA,2774,18,1992
9,Svidler Peter,g,RUS,2769,24,1976
10,Karjakin Sergey,g,RUS,2767,17,1990
11,Morozevich Alexander,g,RUS,2760,17,1977
12,Ivanchuk Vassily,g,UKR,2755,19,1969
13,Mamedyarov Shakhriyar,g,AZE,2753,17,1985
14,Radjabov Teimour,g,AZE,2745,25,1987
15,Gelfand Boris,g,ISR,2744,14,1968
16,Wang Hao,g,CHN,2743,0,1989
17,Ponomariov Ruslan,g,UKR,2742,11,1983
18,Kamsky Gata,g,USA,2741,18,1974
19,Leko Peter,g,HUN,2737,17,1979
20,Giri Anish,g,NED,2734,20,1994
21,Jakovenko Dmitry,g,RUS,2731,7,1983
22,Adams Michael,g,ENG,2729,9,1971
23,Bacrot Etienne,g,FRA,2725,33,1983
24,Andreikin Dmitry,g,RUS,2724,6,1990
25,Dominguez Perez Leinier,g,CUB,2723,7,1983
26,Tomashevsky Evgeny,g,RUS,2719,5,1987
27,Vachier-Lagrave Maxime,g,FRA,2718,11,1990
28,Vitiugov Nikita,g,RUS,2718,7,1987
29,Le Quang Liem,g,VIE,2714,7,1991
30,Naiditsch Arkadij,g,GER,2710,24,1985
31,Malakhov Vladimir,g,RUS,2710,8,1980
32,Nepomniachtchi Ian,g,RUS,2710,5,1990
33,Areshchenko Alexander,g,UKR,2709,8,1986
34,Shirov Alexei,g,LAT,2708,12,1972
35,Riazantsev Alexander,g,RUS,2708,5,1985
36,Bruzon Batista Lazaro,g,CUB,2707,0,1982
37,Ding Liren,g,CHN,2707,0,1992
38,Wang Yue,g,CHN,2706,0,1987
39,Akopian Vladimir,g,ARM,2705,9,1971
40,So Wesley,g,PHI,2705,8,1993
41,Korobov Anton,g,UKR,2705,7,1985
42,Harikrishna P.,g,IND,2702,9,1986
43,Eljanov Pavel,g,UKR,2702,5,1983
44,Jobava Baadur,g,GEO,2702,5,1983
45,Wojtaszek Radoslaw,g,POL,2701,9,1987
46,Alekseev Evgeny,g,RUS,2700,10,1985
47,Cheparinov Ivan,g,BUL,2700,5,1986
48,Kasimdzhanov Rustam,g,UZB,2699,22,1979
49,Moiseenko Alexander,g,UKR,2698,5,1980
50,Navara David,g,CZE,2697,13,1985
51,McShane Luke J,g,ENG,2697,9,1984
52,Polgar Judit,g,HUN,2696,0,1976
53,Vallejo Pons Francisco,g,ESP,2695,13,1982
54,Rublevsky Sergei,g,RUS,2695,6,1974
55,Almasi Zoltan,g,HUN,2695,3,1976
56,Fressinet Laurent,g,FRA,2693,11,1981
57,Movsesian Sergei,g,ARM,2693,8,1978
58,Inarkiev Ernesto,g,RUS,2690,2,1985
59,Van Wely Loek,g,NED,2689,5,1972
60,Berkes Ferenc,g,HUN,2688,19,1985
61,Volokitin Andrei,g,UKR,2687,11,1986
62,Grachev Boris,g,RUS,2687,10,1986
63,Li Chao b,g,CHN,2686,0,1989
64,Short Nigel D,g,ENG,2681,10,1965
65,Nisipeanu Liviu-Dieter,g,ROU,2679,19,1976
66,Laznicka Viktor,g,CZE,2679,9,1988
67,Efimenko Zahar,g,UKR,2677,14,1985
68,Yu Yangyi,g,CHN,2675,0,1994
69,Rapport Richard,g,HUN,2674,20,1996
70,Gareev Timur,g,USA,2674,0,1988
71,Gyimesi Zoltan,g,HUN,2674,0,1977
72,Sutovsky Emil,g,ISR,2673,6,1977
73,Bologan Viktor,g,MDA,2672,10,1971
74,Sasikiran Krishnan,g,IND,2669,7,1981
75,Motylev Alexander,g,RUS,2669,6,1979
76,Sargissian Gabriel,g,ARM,2667,9,1983
77,Ragger Markus,g,AUT,2666,15,1988
78,Onischuk Alexander,g,USA,2666,8,1975
79,Potkin Vladimir,g,RUS,2666,4,1982
80,Smirin Ilia,g,ISR,2663,9,1968
81,Bu Xiangzhi,g,CHN,2662,0,1985
82,Fedorchuk Sergey A.,g,UKR,2660,18,1981
83,Zhigalko Sergei,g,BLR,2660,5,1989
84,Edouard Romain,g,FRA,2659,19,1990
85,Kryvoruchko Yuriy,g,UKR,2659,19,1986
86,Granda Zuniga Julio E,g,PER,2659,15,1967
87,Nielsen Peter Heine,g,DEN,2658,9,1973
88,Georgiev Kiril,g,BUL,2657,11,1965
89,Gharamian Tigran,g,FRA,2657,11,1984
90,Khairullin Ildar,g,RUS,2657,3,1990
91,Meier Georg,g,GER,2655,8,1987
92,Ivanisevic Ivan,g,SRB,2655,6,1977
93,Zvjaginsev Vadim,g,RUS,2655,4,1976
94,Iturrizaga Eduardo,g,VEN,2655,0,1989
95,Kurnosov Igor,g,RUS,2654,12,1985
96,Dreev Aleksey,g,RUS,2654,9,1969
97,Matlakov Maxim,g,RUS,2654,6,1991
98,Sjugirov Sanan,g,RUS,2654,6,1993
99,Gajewski Grzegorz,g,POL,2653,24,1985
100,Khismatullin Denis,g,RUS,2653,7,1984
