"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2834","7","1990"
"2","Topalov, Veselin","g","BUL","2803","0","1975"
"3","Anand, Viswanathan","g","IND","2796","6","1969"
"4","Kramnik, Vladimir","g","RUS","2796","0","1975"
"5","Nakamura, Hikaru","g","USA","2793","0","1987"
"6","Aronian, Levon","g","ARM","2788","9","1982"
"7","Caruana, Fabiano","g","USA","2787","0","1992"
"8","Giri, Anish","g","NED","2784","15","1994"
"9","Ding, Liren","g","CHN","2776","6","1992"
"10","So, Wesley","g","USA","2775","6","1993"
"11","Vachier-Lagrave, Maxime","g","FRA","2773","9","1990"
"12","Karjakin, Sergey","g","RUS","2766","0","1990"
"13","Eljanov, Pavel","g","UKR","2763","9","1983"
"14","Svidler, Peter","g","RUS","2751","8","1976"
"15","Li, Chao b","g","CHN","2750","0","1989"
"16","Mamedyarov, Shakhriyar","g","AZE","2748","8","1985"
"17","Grischuk, Alexander","g","RUS","2747","6","1983"
"18","Tomashevsky, Evgeny","g","RUS","2744","7","1987"
"19","Harikrishna, P.","g","IND","2743","0","1986"
"20","Adams, Michael","g","ENG","2737","8","1971"
"21","Jakovenko, Dmitry","g","RUS","2737","7","1983"
"22","Yu, Yangyi","g","CHN","2736","3","1994"
"23","Andreikin, Dmitry","g","RUS","2732","0","1990"
"24","Dominguez Perez, Leinier","g","CUB","2732","0","1983"
"25","Gelfand, Boris","g","ISR","2731","0","1968"
"26","Navara, David","g","CZE","2730","13","1985"
"27","Wei, Yi","g","CHN","2730","3","1999"
"28","Radjabov, Teimour","g","AZE","2726","8","1987"
"29","Wang, Yue","g","CHN","2724","3","1987"
"30","Vitiugov, Nikita","g","RUS","2724","0","1987"
"31","Wojtaszek, Radoslaw","g","POL","2723","7","1987"
"32","Le, Quang Liem","g","VIE","2718","0","1991"
"33","Rapport, Richard","g","HUN","2715","11","1996"
"34","Korobov, Anton","g","UKR","2713","9","1985"
"35","Bu, Xiangzhi","g","CHN","2712","3","1985"
"36","Kryvoruchko, Yuriy","g","UKR","2711","7","1986"
"37","Ivanchuk, Vassily","g","UKR","2710","8","1969"
"38","Ponomariov, Ruslan","g","UKR","2710","0","1983"
"39","Fressinet, Laurent","g","FRA","2707","8","1981"
"40","Nepomniachtchi, Ian","g","RUS","2707","8","1990"
"41","Wang, Hao","g","CHN","2707","3","1989"
"42","Leko, Peter","g","HUN","2705","9","1979"
"43","Sargissian, Gabriel","g","ARM","2702","8","1983"
"44","Kasimdzhanov, Rustam","g","UZB","2702","0","1979"
"45","Naiditsch, Arkadij","g","AZE","2698","8","1985"
"46","Hammer, Jon Ludvig","g","NOR","2695","9","1990"
"47","Malakhov, Vladimir","g","RUS","2694","3","1980"
"48","Ni, Hua","g","CHN","2693","3","1983"
"49","Bacrot, Etienne","g","FRA","2692","8","1983"
"50","Morozevich, Alexander","g","RUS","2692","5","1977"
"51","Rublevsky, Sergei","g","RUS","2692","0","1974"
"52","Almasi, Zoltan","g","HUN","2690","10","1976"
"53","Moiseenko, Alexander","g","UKR","2689","0","1980"
"54","Howell, David W L","g","ENG","2688","9","1990"
"55","Ragger, Markus","g","AUT","2687","12","1988"
"56","Granda Zuniga, Julio E","g","PER","2685","9","1967"
"57","Short, Nigel D","g","ENG","2684","5","1965"
"58","Matlakov, Maxim","g","RUS","2684","0","1991"
"59","Hou, Yifan","g","CHN","2683","0","1994"
"60","Cheparinov, Ivan","g","BUL","2682","0","1986"
"61","Kovalenko, Igor","g","LAT","2680","10","1988"
"62","Rodshtein, Maxim","g","ISR","2678","2","1989"
"63","Areshchenko, Alexander","g","UKR","2677","9","1986"
"64","Vallejo Pons, Francisco","g","ESP","2676","18","1982"
"65","Shirov, Alexei","g","LAT","2676","9","1972"
"66","Artemiev, Vladislav","g","RUS","2676","0","1998"
"67","Nisipeanu, Liviu-Dieter","g","GER","2675","17","1976"
"68","Bareev, Evgeny","g","CAN","2675","0","1966"
"69","Najer, Evgeniy","g","RUS","2674","0","1977"
"70","Jobava, Baadur","g","GEO","2673","12","1983"
"71","Postny, Evgeny","g","ISR","2670","9","1981"
"72","Kamsky, Gata","g","USA","2669","9","1974"
"73","McShane, Luke J","g","ENG","2669","6","1984"
"74","Adhiban, B.","g","IND","2669","0","1992"
"75","Inarkiev, Ernesto","g","RUS","2668","0","1985"
"76","Bruzon Batista, Lazaro","g","CUB","2666","9","1982"
"77","Lysyj, Igor","g","RUS","2666","3","1987"
"78","Amin, Bassem","g","EGY","2665","8","1988"
"79","Fedoseev, Vladimir","g","RUS","2664","0","1995"
"80","Negi, Parimarjan","g","IND","2664","0","1993"
"81","Onischuk, Alexander","g","USA","2664","0","1975"
"82","Duda, Jan-Krzysztof","g","POL","2663","9","1998"
"83","Sadler, Matthew D","g","ENG","2662","2","1974"
"84","Zvjaginsev, Vadim","g","RUS","2662","0","1976"
"85","Tkachiev, Vladislav","g","FRA","2660","15","1973"
"86","Meier, Georg","g","GER","2660","10","1987"
"87","Ivanisevic, Ivan","g","SRB","2660","8","1977"
"88","Movsesian, Sergei","g","ARM","2659","7","1978"
"89","Robson, Ray","g","USA","2659","0","1994"
"90","Smirin, Ilia","g","ISR","2658","0","1968"
"91","Bukavshin, Ivan","g","RUS","2657","0","1995"
"92","Laznicka, Viktor","g","CZE","2655","10","1988"
"93","Dubov, Daniil","g","RUS","2655","2","1996"
"94","Zhigalko, Sergei","g","BLR","2655","0","1989"
"95","Melkumyan, Hrant","g","ARM","2654","18","1989"
"96","Bologan, Viktor","g","MDA","2654","9","1971"
"97","Saric, Ivan","g","CRO","2654","9","1990"
"98","Gharamian, Tigran","g","FRA","2654","0","1984"
"99","Khismatullin, Denis","g","RUS","2654","0","1984"
"100","Safarli, Eltaj","g","AZE","2653","6","1992"
"101","Motylev, Alexander","g","RUS","2653","0","1979"
