"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2850","0","1990"
"2","Topalov, Veselin","g","BUL","2803","14","1975"
"3","Anand, Viswanathan","g","IND","2803","0","1969"
"4","Kramnik, Vladimir","g","RUS","2796","11","1975"
"5","Nakamura, Hikaru","g","USA","2793","23","1987"
"6","Caruana, Fabiano","g","USA","2787","23","1992"
"7","Aronian, Levon","g","ARM","2781","9","1982"
"8","Ding, Liren","g","CHN","2781","8","1992"
"9","Giri, Anish","g","NED","2778","18","1994"
"10","So, Wesley","g","USA","2767","17","1993"
"11","Karjakin, Sergey","g","RUS","2766","22","1990"
"12","Vachier-Lagrave, Maxime","g","FRA","2765","16","1990"
"13","Eljanov, Pavel","g","UKR","2753","12","1983"
"14","Grischuk, Alexander","g","RUS","2750","13","1983"
"15","Li, Chao b","g","CHN","2750","7","1989"
"16","Wojtaszek, Radoslaw","g","POL","2748","17","1987"
"17","Svidler, Peter","g","RUS","2745","21","1976"
"18","Adams, Michael","g","ENG","2744","23","1971"
"19","Harikrishna, P.","g","IND","2743","20","1986"
"20","Mamedyarov, Shakhriyar","g","AZE","2743","16","1985"
"21","Tomashevsky, Evgeny","g","RUS","2743","12","1987"
"22","Radjabov, Teimour","g","AZE","2739","11","1987"
"23","Wei, Yi","g","CHN","2737","10","1999"
"24","Jakovenko, Dmitry","g","RUS","2735","14","1983"
"25","Yu, Yangyi","g","CHN","2734","19","1994"
"26","Andreikin, Dmitry","g","RUS","2732","15","1990"
"27","Dominguez Perez, Leinier","g","CUB","2732","12","1983"
"28","Gelfand, Boris","g","ISR","2731","7","1968"
"29","Navara, David","g","CZE","2730","14","1985"
"30","Wang, Yue","g","CHN","2729","7","1987"
"31","Vitiugov, Nikita","g","RUS","2724","9","1987"
"32","Ivanchuk, Vassily","g","UKR","2720","13","1969"
"33","Le, Quang Liem","g","VIE","2718","22","1991"
"34","Kryvoruchko, Yuriy","g","UKR","2717","7","1986"
"35","Fressinet, Laurent","g","FRA","2712","13","1981"
"36","Bu, Xiangzhi","g","CHN","2710","0","1985"
"37","Ponomariov, Ruslan","g","UKR","2710","0","1983"
"38","Korobov, Anton","g","UKR","2709","20","1985"
"39","Leko, Peter","g","HUN","2708","13","1979"
"40","Nepomniachtchi, Ian","g","RUS","2705","12","1990"
"41","Kasimdzhanov, Rustam","g","UZB","2702","2","1979"
"42","Wang, Hao","g","CHN","2700","13","1989"
"43","Ni, Hua","g","CHN","2696","2","1983"
"44","Morozevich, Alexander","g","RUS","2695","9","1977"
"45","Kovalenko, Igor","g","LAT","2694","5","1988"
"46","Rapport, Richard","g","HUN","2693","17","1996"
"47","Howell, David W L","g","ENG","2693","16","1990"
"48","Malakhov, Vladimir","g","RUS","2693","6","1980"
"49","Rublevsky, Sergei","g","RUS","2692","4","1974"
"50","Naiditsch, Arkadij","g","AZE","2689","18","1985"
"51","Shirov, Alexei","g","LAT","2689","16","1972"
"52","Sargissian, Gabriel","g","ARM","2689","13","1983"
"53","Moiseenko, Alexander","g","UKR","2689","2","1980"
"54","Almasi, Zoltan","g","HUN","2689","0","1976"
"55","Ragger, Markus","g","AUT","2688","8","1988"
"56","McShane, Luke J","g","ENG","2687","9","1984"
"57","Short, Nigel D","g","ENG","2686","18","1965"
"58","Bacrot, Etienne","g","FRA","2686","6","1983"
"59","Matlakov, Maxim","g","RUS","2684","8","1991"
"60","Vallejo Pons, Francisco","g","ESP","2684","0","1982"
"61","Hou, Yifan","g","CHN","2683","15","1994"
"62","Nisipeanu, Liviu-Dieter","g","GER","2683","4","1976"
"63","Areshchenko, Alexander","g","UKR","2682","13","1986"
"64","Cheparinov, Ivan","g","BUL","2682","11","1986"
"65","Hammer, Jon Ludvig","g","NOR","2682","7","1990"
"66","Kamsky, Gata","g","USA","2681","10","1974"
"67","Granda Zuniga, Julio E","g","PER","2678","15","1967"
"68","Rodshtein, Maxim","g","ISR","2677","10","1989"
"69","Artemiev, Vladislav","g","RUS","2676","4","1998"
"70","Bareev, Evgeny","g","CAN","2675","9","1966"
"71","Najer, Evgeniy","g","RUS","2674","16","1977"
"72","Postny, Evgeny","g","ISR","2672","23","1981"
"73","Adhiban, B.","g","IND","2669","11","1992"
"74","Inarkiev, Ernesto","g","RUS","2668","18","1985"
"75","Jobava, Baadur","g","GEO","2668","13","1983"
"76","Movsesian, Sergei","g","ARM","2666","9","1978"
"77","Laznicka, Viktor","g","CZE","2665","20","1988"
"78","Fedoseev, Vladimir","g","RUS","2664","8","1995"
"79","Onischuk, Alexander","g","USA","2664","4","1975"
"80","Negi, Parimarjan","g","IND","2664","0","1993"
"81","Ivanisevic, Ivan","g","SRB","2662","8","1977"
"82","Zvjaginsev, Vadim","g","RUS","2662","5","1976"
"83","Lysyj, Igor","g","RUS","2660","22","1987"
"84","Robson, Ray","g","USA","2659","19","1994"
"85","Sadler, Matthew D","g","ENG","2659","0","1974"
"86","Smirin, Ilia","g","ISR","2658","13","1968"
"87","Duda, Jan-Krzysztof","g","POL","2658","0","1998"
"88","Tkachiev, Vladislav","g","FRA","2658","0","1973"
"89","Amin, Bassem","g","EGY","2657","12","1988"
"90","Safarli, Eltaj","g","AZE","2657","6","1992"
"91","Bruzon Batista, Lazaro","g","CUB","2657","4","1982"
"92","Bukavshin, Ivan","g","RUS","2657","2","1995"
"93","Dubov, Daniil","g","RUS","2655","5","1996"
"94","Zhigalko, Sergei","g","BLR","2655","4","1989"
"95","Khismatullin, Denis","g","RUS","2654","11","1984"
"96","Meier, Georg","g","GER","2654","4","1987"
"97","Gharamian, Tigran","g","FRA","2654","0","1984"
"98","Nielsen, Peter Heine","g","DEN","2654","0","1973"
"99","Mamedov, Rauf","g","AZE","2653","7","1988"
"100","Motylev, Alexander","g","RUS","2653","4","1979"
