Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2872,0,1990
2,Aronian Levon,g,ARM,2809,0,1982
3,Kramnik Vladimir,g,RUS,2801,6,1975
4,Radjabov Teimour,g,AZE,2793,0,1987
5,Karjakin Sergey,g,RUS,2786,0,1990
6,Anand Viswanathan,g,IND,2783,6,1969
7,Caruana Fabiano,g,ITA,2772,6,1992
8,Topalov Veselin,g,BUL,2771,0,1975
9,Nakamura Hikaru,g,USA,2767,0,1987
10,Mamedyarov Shakhriyar,g,AZE,2766,0,1985
11,Grischuk Alexander,g,RUS,2764,0,1983
12,Morozevich Alexander,g,RUS,2758,0,1977
13,Ivanchuk Vassily,g,UKR,2757,0,1969
14,Svidler Peter,g,RUS,2747,0,1976
15,Leko Peter,g,HUN,2744,0,1979
16,Wang Hao,g,CHN,2743,0,1989
17,Kamsky Gata,g,USA,2741,0,1974
18,Gelfand Boris,g,ISR,2739,6,1968
19,Jakovenko Dmitry,g,RUS,2734,0,1983
20,Ponomariov Ruslan,g,UKR,2733,0,1983
21,Giri Anish,g,NED,2727,3,1994
22,Adams Michael,g,ENG,2727,0,1971
23,Andreikin Dmitry,g,RUS,2727,0,1990
24,Dominguez Perez Leinier,g,CUB,2723,0,1983
25,Tomashevsky Evgeny,g,RUS,2722,0,1987
26,Vachier-Lagrave Maxime,g,FRA,2722,0,1990
27,Le Quang Liem,g,VIE,2717,9,1991
28,Vitiugov Nikita,g,RUS,2712,0,1987
29,Kasimdzhanov Rustam,g,UZB,2709,0,1979
30,Malakhov Vladimir,g,RUS,2709,0,1980
31,Nepomniachtchi Ian,g,RUS,2708,0,1990
32,Areshchenko Alexander,g,UKR,2707,3,1986
33,Bruzon Batista Lazaro,g,CUB,2707,0,1982
34,Ding Liren,g,CHN,2707,0,1992
35,Naiditsch Arkadij,g,GER,2706,1,1985
36,Fressinet Laurent,g,FRA,2706,0,1981
37,Navara David,g,CZE,2706,0,1985
38,Wang Yue,g,CHN,2706,0,1987
39,Bacrot Etienne,g,FRA,2705,0,1983
40,Harikrishna P.,g,IND,2705,0,1986
41,Riazantsev Alexander,g,RUS,2705,0,1985
42,Akopian Vladimir,g,ARM,2704,0,1971
43,Eljanov Pavel,g,UKR,2703,3,1983
44,Moiseenko Alexander,g,UKR,2703,0,1980
45,Volokitin Andrei,g,UKR,2702,11,1986
46,Cheparinov Ivan,g,BUL,2702,9,1986
47,Jobava Baadur,g,GEO,2702,0,1983
48,So Wesley,g,PHI,2701,0,1993
49,Shirov Alexei,g,LAT,2700,0,1972
50,Wojtaszek Radoslaw,g,POL,2700,0,1987
51,Korobov Anton,g,UKR,2698,8,1985
52,McShane Luke J,g,ENG,2698,0,1984
53,Efimenko Zahar,g,UKR,2697,0,1985
54,Short Nigel D,g,ENG,2697,0,1965
55,Polgar Judit,g,HUN,2696,0,1976
56,Alekseev Evgeny,g,RUS,2695,0,1985
57,Movsesian Sergei,g,ARM,2695,0,1978
58,Vallejo Pons Francisco,g,ESP,2694,0,1982
59,Grachev Boris,g,RUS,2693,0,1986
60,Almasi Zoltan,g,HUN,2689,0,1976
61,Inarkiev Ernesto,g,RUS,2688,0,1985
62,Rublevsky Sergei,g,RUS,2688,0,1974
63,Li Chao b,g,CHN,2686,0,1989
64,Van Wely Loek,g,NED,2684,0,1972
65,Bologan Viktor,g,MDA,2681,0,1971
66,Nisipeanu Liviu-Dieter,g,ROU,2677,0,1976
67,Motylev Alexander,g,RUS,2676,0,1979
68,Yu Yangyi,g,CHN,2675,9,1994
69,Berkes Ferenc,g,HUN,2674,19,1985
70,Gareev Timur,g,USA,2674,0,1988
71,Gyimesi Zoltan,g,HUN,2674,0,1977
72,Laznicka Viktor,g,CZE,2674,0,1988
73,Sutovsky Emil,g,ISR,2671,0,1977
74,Edouard Romain,g,FRA,2670,7,1990
75,Kryvoruchko Yuriy,g,UKR,2668,3,1986
76,Sargissian Gabriel,g,ARM,2666,0,1983
77,Potkin Vladimir,g,RUS,2665,0,1982
78,Ragger Markus,g,AUT,2663,16,1988
79,Gharamian Tigran,g,FRA,2663,10,1984
80,Sasikiran Krishnan,g,IND,2663,9,1981
81,Smirin Ilia,g,ISR,2663,9,1968
82,Onischuk Alexander,g,USA,2663,0,1975
83,Petrosian Tigran L.,g,ARM,2663,0,1984
84,Bu Xiangzhi,g,CHN,2662,0,1985
85,Mamedov Rauf,g,AZE,2662,0,1988
86,Khairullin Ildar,g,RUS,2660,2,1990
87,Zvjaginsev Vadim,g,RUS,2658,0,1976
88,Georgiev Kiril,g,BUL,2657,9,1965
89,Sjugirov Sanan,g,RUS,2657,9,1993
90,Zhigalko Sergei,g,BLR,2656,0,1989
91,Iturrizaga Eduardo,g,VEN,2655,18,1989
92,Nielsen Peter Heine,g,DEN,2654,7,1973
93,Rapport Richard,g,HUN,2654,7,1996
94,Jones Gawain C B,g,ENG,2654,3,1987
95,Dreev Aleksey,g,RUS,2654,0,1969
96,Negi Parimarjan,g,IND,2653,22,1993
97,Ivanisevic Ivan,g,SRB,2653,9,1977
98,Gajewski Grzegorz,g,POL,2653,3,1985
99,Matlakov Maxim,g,RUS,2653,0,1991
100,Fedorchuk Sergey A.,g,UKR,2652,10,1981
101,Fridman Daniel,g,GER,2652,3,1976
102,Filippov Anton,g,UZB,2652,0,1986
103,Kobalia Mikhail,g,RUS,2652,0,1978
104,Meier Georg,g,GER,2652,0,1987
