Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2872,0,1990
2,Aronian Levon,g,ARM,2826,11,1982
3,Kramnik Vladimir,g,RUS,2787,0,1975
4,Topalov Veselin,g,BUL,2785,0,1975
5,Caruana Fabiano,g,ITA,2781,11,1992
6,Grischuk Alexander,g,RUS,2777,0,1983
7,Nakamura Hikaru,g,USA,2776,11,1987
8,Anand Viswanathan,g,IND,2773,0,1969
9,Karjakin Sergey,g,RUS,2766,11,1990
10,Gelfand Boris,g,ISR,2761,11,1968
11,Svidler Peter,g,RUS,2758,0,1976
12,Dominguez Perez Leinier,g,CUB,2757,11,1983
13,Mamedyarov Shakhriyar,g,AZE,2757,0,1985
14,Adams Michael,g,ENG,2754,0,1971
15,Giri Anish,g,NED,2746,11,1994
16,Vachier-Lagrave Maxime,g,FRA,2745,0,1990
17,Ivanchuk Vassily,g,UKR,2739,0,1969
18,So Wesley,g,PHI,2738,17,1993
19,Bacrot Etienne,g,FRA,2738,0,1983
20,Vitiugov Nikita,g,RUS,2737,0,1987
21,Wang Hao,g,CHN,2734,0,1989
22,Eljanov Pavel,g,UKR,2733,0,1983
23,Nepomniachtchi Ian,g,RUS,2732,0,1990
24,Leko Peter,g,HUN,2730,0,1979
25,Jakovenko Dmitry,g,RUS,2723,1,1983
26,Korobov Anton,g,UKR,2723,0,1985
27,Morozevich Alexander,g,RUS,2722,0,1977
28,Ponomariov Ruslan,g,UKR,2721,0,1983
29,Ding Liren,g,CHN,2717,0,1992
30,Malakhov Vladimir,g,RUS,2717,0,1980
31,Wang Yue,g,CHN,2717,0,1987
32,Wojtaszek Radoslaw,g,POL,2715,27,1987
33,Tomashevsky Evgeny,g,RUS,2715,0,1987
34,Radjabov Teimour,g,AZE,2713,0,1987
35,Harikrishna P.,g,IND,2712,11,1986
36,Shirov Alexei,g,LAT,2711,0,1972
37,Moiseenko Alexander,g,UKR,2710,0,1980
38,Le Quang Liem,g,VIE,2709,6,1991
39,Andreikin Dmitry,g,RUS,2709,0,1990
40,Fressinet Laurent,g,FRA,2709,0,1981
41,Kamsky Gata,g,USA,2709,0,1974
42,Almasi Zoltan,g,HUN,2707,2,1976
43,Vallejo Pons Francisco,g,ESP,2707,0,1982
44,Jobava Baadur,g,GEO,2706,13,1983
45,Areshchenko Alexander,g,UKR,2706,0,1986
46,Rublevsky Sergei,g,RUS,2706,0,1974
47,Kryvoruchko Yuriy,g,UKR,2704,0,1986
48,Naiditsch Arkadij,g,GER,2702,11,1985
49,Navara David,g,CZE,2702,0,1985
50,Bu Xiangzhi,g,CHN,2699,0,1985
51,Khismatullin Denis,g,RUS,2698,14,1984
52,Inarkiev Ernesto,g,RUS,2698,0,1985
53,Kasimdzhanov Rustam,g,UZB,2698,0,1979
54,Li Chao b,g,CHN,2697,16,1989
55,Polgar Judit,g,HUN,2693,0,1976
56,Nisipeanu Liviu-Dieter,g,ROU,2691,0,1976
57,Matlakov Maxim,g,RUS,2690,9,1991
58,Alekseev Evgeny,g,RUS,2689,17,1985
59,Riazantsev Alexander,g,RUS,2689,0,1985
60,Short Nigel D,g,ENG,2686,2,1965
61,McShane Luke J,g,ENG,2684,0,1984
62,Akopian Vladimir,g,ARM,2682,0,1971
63,Laznicka Viktor,g,CZE,2681,0,1988
64,Rodshtein Maxim,g,ISR,2680,7,1989
65,Berkes Ferenc,g,HUN,2680,0,1985
66,Granda Zuniga Julio E,g,PER,2680,0,1967
67,Rapport Richard,g,HUN,2679,11,1996
68,Van Wely Loek,g,NED,2679,11,1972
69,Onischuk Alexander,g,USA,2679,0,1975
70,Volokitin Andrei,g,UKR,2679,0,1986
71,Movsesian Sergei,g,ARM,2677,0,1978
72,Bruzon Batista Lazaro,g,CUB,2676,0,1982
73,Sasikiran Krishnan,g,IND,2676,0,1981
74,Dreev Aleksey,g,RUS,2673,0,1969
75,Cheparinov Ivan,g,BUL,2672,0,1986
76,Istratescu Andrei,g,FRA,2671,7,1975
77,Sargissian Gabriel,g,ARM,2671,0,1983
78,Grachev Boris,g,RUS,2669,14,1986
79,Amin Bassem,g,EGY,2665,0,1988
80,Yu Yangyi,g,CHN,2664,13,1994
81,Socko Bartosz,g,POL,2663,11,1978
82,Sutovsky Emil,g,ISR,2663,0,1977
83,Saric Ivan,g,CRO,2661,13,1990
84,Zhigalko Sergei,g,BLR,2661,13,1989
85,Edouard Romain,g,FRA,2661,2,1990
86,Bologan Viktor,g,MDA,2661,0,1971
87,Mamedov Rauf,g,AZE,2659,0,1988
88,Shimanov Aleksandr,g,RUS,2658,18,1992
89,Ni Hua,g,CHN,2658,0,1983
90,Sjugirov Sanan,g,RUS,2657,9,1993
91,Georgiev Kiril,g,BUL,2657,7,1965
92,Erdos Viktor,g,HUN,2656,0,1987
93,Lenic Luka,g,SLO,2656,0,1988
94,Lysyj Igor,g,RUS,2655,9,1987
95,Mchedlishvili Mikheil,g,GEO,2655,9,1979
96,Gharamian Tigran,g,FRA,2655,2,1984
97,Efimenko Zahar,g,UKR,2655,0,1985
98,Balogh Csaba,g,HUN,2654,7,1987
99,Motylev Alexander,g,RUS,2654,0,1979
100,Popov Ivan,g,RUS,2653,14,1990
101,Romanov Evgeny,g,RUS,2653,3,1988
102,Zvjaginsev Vadim,g,RUS,2653,0,1976
