"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2851","13","1990"
"2","Kramnik, Vladimir","g","RUS","2801","0","1975"
"3","Caruana, Fabiano","g","USA","2794","13","1992"
"4","Giri, Anish","g","NED","2793","13","1994"
"5","Vachier-Lagrave, Maxime","g","FRA","2792","10","1990"
"6","Nakamura, Hikaru","g","USA","2790","10","1987"
"7","Aronian, Levon","g","ARM","2786","1","1982"
"8","Topalov, Veselin","g","BUL","2780","0","1975"
"9","Ding, Liren","g","CHN","2777","13","1992"
"10","So, Wesley","g","USA","2773","13","1993"
"11","Eljanov, Pavel","g","UKR","2765","15","1983"
"12","Anand, Viswanathan","g","IND","2762","11","1969"
"13","Karjakin, Sergey","g","RUS","2760","13","1990"
"14","Harikrishna, P.","g","IND","2758","14","1986"
"15","Li, Chao b","g","CHN","2757","23","1989"
"16","Svidler, Peter","g","RUS","2757","2","1976"
"17","Grischuk, Alexander","g","RUS","2752","0","1983"
"18","Mamedyarov, Shakhriyar","g","AZE","2747","13","1985"
"19","Yu, Yangyi","g","CHN","2738","10","1994"
"20","Gelfand, Boris","g","ISR","2735","0","1968"
"21","Andreikin, Dmitry","g","RUS","2732","0","1990"
"22","Dominguez Perez, Leinier","g","CUB","2732","0","1983"
"23","Jakovenko, Dmitry","g","RUS","2731","9","1983"
"24","Adams, Michael","g","ENG","2727","15","1971"
"25","Navara, David","g","CZE","2726","17","1985"
"26","Radjabov, Teimour","g","AZE","2726","0","1987"
"27","Bu, Xiangzhi","g","CHN","2724","0","1985"
"28","Tomashevsky, Evgeny","g","RUS","2722","13","1987"
"29","Vitiugov, Nikita","g","RUS","2721","2","1987"
"30","Rapport, Richard","g","HUN","2720","12","1996"
"31","Wang, Yue","g","CHN","2718","0","1987"
"32","Wang, Hao","g","CHN","2717","0","1989"
"33","Wei, Yi","g","CHN","2714","13","1999"
"34","Wojtaszek, Radoslaw","g","POL","2713","12","1987"
"35","Korobov, Anton","g","UKR","2713","9","1985"
"36","Ponomariov, Ruslan","g","UKR","2712","0","1983"
"37","Rodshtein, Maxim","g","ISR","2710","4","1989"
"38","Ivanchuk, Vassily","g","UKR","2710","0","1969"
"39","Le, Quang Liem","g","VIE","2709","0","1991"
"40","Leko, Peter","g","HUN","2705","0","1979"
"41","Nepomniachtchi, Ian","g","RUS","2704","0","1990"
"42","Sargissian, Gabriel","g","ARM","2702","0","1983"
"43","Bacrot, Etienne","g","FRA","2701","13","1983"
"44","Hammer, Jon Ludvig","g","NOR","2701","5","1990"
"45","Ragger, Markus","g","AUT","2694","23","1988"
"46","Kasimdzhanov, Rustam","g","UZB","2694","4","1979"
"47","Kryvoruchko, Yuriy","g","UKR","2692","2","1986"
"48","Rublevsky, Sergei","g","RUS","2692","0","1974"
"49","Ni, Hua","g","CHN","2691","10","1983"
"50","Malakhov, Vladimir","g","RUS","2691","4","1980"
"51","Fressinet, Laurent","g","FRA","2688","12","1981"
"52","Granda Zuniga, Julio E","g","PER","2688","0","1967"
"53","Shirov, Alexei","g","LAT","2685","2","1972"
"54","Cheparinov, Ivan","g","BUL","2684","0","1986"
"55","Morozevich, Alexander","g","RUS","2683","0","1977"
"56","Matlakov, Maxim","g","RUS","2682","0","1991"
"57","Almasi, Zoltan","g","HUN","2680","12","1976"
"58","Bruzon Batista, Lazaro","g","CUB","2679","10","1982"
"59","Inarkiev, Ernesto","g","RUS","2677","9","1985"
"60","Vallejo Pons, Francisco","g","ESP","2677","2","1982"
"61","Jobava, Baadur","g","GEO","2676","5","1983"
"62","McShane, Luke J","g","ENG","2676","3","1984"
"63","Bareev, Evgeny","g","CAN","2675","0","1966"
"64","Howell, David W L","g","ENG","2674","12","1990"
"65","Artemiev, Vladislav","g","RUS","2674","9","1998"
"66","Areshchenko, Alexander","g","UKR","2674","5","1986"
"67","Kamsky, Gata","g","USA","2673","28","1974"
"68","Naiditsch, Arkadij","g","AZE","2673","13","1985"
"69","Short, Nigel D","g","ENG","2671","10","1965"
"70","Postny, Evgeny","g","ISR","2668","14","1981"
"71","Moiseenko, Alexander","g","UKR","2668","4","1980"
"72","Lysyj, Igor","g","RUS","2668","0","1987"
"73","Hou, Yifan","g","CHN","2667","17","1994"
"74","Kovalenko, Igor","g","LAT","2667","0","1988"
"75","Sjugirov, Sanan","g","RUS","2667","0","1993"
"76","Laznicka, Viktor","g","CZE","2666","4","1988"
"77","Sadler, Matthew D","g","ENG","2666","2","1974"
"78","Ivanisevic, Ivan","g","SRB","2665","9","1977"
"79","Swiercz, Dariusz","g","POL","2665","4","1994"
"80","Meier, Georg","g","GER","2664","2","1987"
"81","Najer, Evgeniy","g","RUS","2664","2","1977"
"82","Fedoseev, Vladimir","g","RUS","2664","0","1995"
"83","Onischuk, Alexander","g","USA","2664","0","1975"
"84","Adhiban, B.","g","IND","2663","13","1992"
"85","Safarli, Eltaj","g","AZE","2663","13","1992"
"86","Robson, Ray","g","USA","2663","0","1994"
"87","Dreev, Aleksey","g","RUS","2662","13","1969"
"88","Zvjaginsev, Vadim","g","RUS","2662","0","1976"
"89","Nisipeanu, Liviu-Dieter","g","GER","2660","14","1976"
"90","Efimenko, Zahar","g","UKR","2660","2","1985"
"91","Tkachiev, Vladislav","g","FRA","2660","0","1973"
"92","Sethuraman, S.P.","g","IND","2658","10","1993"
"93","Bukavshin, Ivan","g","RUS","2658","0","1995"
"94","Smirin, Ilia","g","ISR","2658","0","1968"
"95","Akopian, Vladimir","g","ARM","2656","0","1971"
"96","Piorun, Kacper","g","POL","2655","4","1991"
"97","Amin, Bassem","g","EGY","2655","0","1988"
"98","Motylev, Alexander","g","RUS","2655","0","1979"
"99","Bologan, Viktor","g","MDA","2654","0","1971"
"100","Van Wely, Loek","g","NED","2653","15","1972"
"101","Melkumyan, Hrant","g","ARM","2653","4","1989"
"102","Movsesian, Sergei","g","ARM","2653","3","1978"
