Rank,Name,Title,Country,Rating,Games,B-Year
1,Carlsen Magnus,g,NOR,2865,13,1990
2,Caruana Fabiano,g,ITA,2811,13,1992
3,Grischuk Alexander,g,RUS,2810,0,1983
4,Topalov Veselin,g,BUL,2800,0,1975
5,Giri Anish,g,NED,2797,13,1994
6,Anand Viswanathan,g,IND,2797,0,1969
7,So Wesley,g,USA,2788,22,1993
8,Kramnik Vladimir,g,RUS,2783,0,1975
9,Aronian Levon,g,ARM,2777,13,1982
10,Nakamura Hikaru,g,USA,2776,0,1987
11,Vachier-Lagrave Maxime,g,FRA,2775,13,1990
12,Karjakin Sergey,g,RUS,2760,0,1990
13,Mamedyarov Shakhriyar,g,AZE,2759,0,1985
14,Ding Liren,g,CHN,2755,13,1992
15,Gelfand Boris,g,ISR,2747,0,1968
16,Svidler Peter,g,RUS,2739,0,1976
17,Adams Michael,g,ENG,2738,0,1971
18,Andreikin Dmitry,g,RUS,2737,0,1990
19,Navara David,g,CZE,2735,13,1985
20,Vitiugov Nikita,g,RUS,2735,0,1987
21,Wojtaszek Radoslaw,g,POL,2734,13,1987
22,Jakovenko Dmitry,g,RUS,2733,0,1983
23,Ivanchuk Vassily,g,UKR,2731,13,1969
24,Radjabov Teimour,g,AZE,2731,13,1987
25,Li Chao b,g,CHN,2728,0,1989
26,Eljanov Pavel,g,UKR,2727,0,1983
27,Dominguez Perez Leinier,g,CUB,2726,0,1983
28,Wang Yue,g,CHN,2726,0,1987
29,Yu Yangyi,g,CHN,2724,0,1994
30,Harikrishna P.,g,IND,2723,0,1986
31,Tomashevsky Evgeny,g,RUS,2716,0,1987
32,Nepomniachtchi Ian,g,RUS,2714,0,1990
33,Leko Peter,g,HUN,2713,0,1979
34,Ponomariov Ruslan,g,UKR,2713,0,1983
35,Wang Hao,g,CHN,2713,0,1989
36,Bacrot Etienne,g,FRA,2711,0,1983
37,Morozevich Alexander,g,RUS,2711,0,1977
38,Naiditsch Arkadij,g,GER,2706,15,1985
39,Fressinet Laurent,g,FRA,2706,0,1981
40,Malakhov Vladimir,g,RUS,2706,0,1980
41,Vallejo Pons Francisco,g,ESP,2706,0,1982
42,Kasimdzhanov Rustam,g,UZB,2705,0,1979
43,Ni Hua,g,CHN,2704,11,1983
44,Rapport Richard,g,HUN,2703,14,1996
45,Almasi Zoltan,g,HUN,2701,0,1976
46,Lysyj Igor,g,RUS,2700,0,1987
47,Rublevsky Sergei,g,RUS,2698,0,1974
48,Jobava Baadur,g,GEO,2696,13,1983
49,Wei Yi,g,CHN,2695,13,1999
50,Matlakov Maxim,g,RUS,2695,0,1991
51,Moiseenko Alexander,g,UKR,2695,0,1980
52,Bruzon Batista Lazaro,g,CUB,2692,9,1982
53,Kryvoruchko Yuriy,g,UKR,2692,0,1986
54,Shirov Alexei,g,LAT,2689,0,1972
55,Riazantsev Alexander,g,RUS,2688,9,1985
56,Korobov Anton,g,UKR,2687,0,1985
57,Fedoseev Vladimir,g,RUS,2684,9,1995
58,Sasikiran Krishnan,g,IND,2682,0,1981
59,Bu Xiangzhi,g,CHN,2681,9,1985
60,Cheparinov Ivan,g,BUL,2681,0,1986
61,Sjugirov Sanan,g,RUS,2678,0,1993
62,Alekseev Evgeny,g,RUS,2677,1,1985
63,Le Quang Liem,g,VIE,2676,6,1991
64,Zhigalko Sergei,g,BLR,2675,11,1989
65,Inarkiev Ernesto,g,RUS,2675,0,1985
66,Polgar Judit,g,HUN,2675,0,1976
67,Melkumyan Hrant,g,ARM,2673,0,1989
68,Hou Yifan,g,CHN,2672,13,1994
69,McShane Luke J,g,ENG,2672,0,1984
70,Kamsky Gata,g,USA,2671,9,1974
71,Jones Gawain C B,g,ENG,2670,3,1987
72,Grachev Boris,g,RUS,2670,0,1986
73,Laznicka Viktor,g,CZE,2670,0,1988
74,Negi Parimarjan,g,IND,2669,0,1993
75,Sargissian Gabriel,g,ARM,2668,0,1983
76,Kuzubov Yuriy,g,UKR,2667,0,1990
77,Berkes Ferenc,g,HUN,2666,2,1985
78,Motylev Alexander,g,RUS,2665,0,1979
79,Onischuk Alexander,g,USA,2665,0,1975
80,Short Nigel D,g,ENG,2664,2,1965
81,Howell David W L,g,ENG,2663,7,1990
82,Movsesian Sergei,g,ARM,2663,0,1978
83,Petrosian Tigran L.,g,ARM,2663,0,1984
84,Saric Ivan,g,CRO,2661,13,1990
85,Shankland Samuel L,g,USA,2661,13,1991
86,Tiviakov Sergei,g,NED,2661,9,1973
87,Areshchenko Alexander,g,UKR,2661,0,1986
88,Rodshtein Maxim,g,ISR,2660,13,1989
89,Akopian Vladimir,g,ARM,2660,0,1971
90,Balogh Csaba,g,HUN,2659,2,1987
91,Artemiev Vladislav,g,RUS,2659,0,1998
92,Nguyen Ngoc Truong Son,g,VIE,2659,0,1990
93,Sadler Matthew D,g,ENG,2658,0,1974
94,Zvjaginsev Vadim,g,RUS,2658,0,1976
95,Van Wely Loek,g,NED,2657,13,1972
96,Kovalenko Igor,g,LAT,2656,11,1988
97,Robson Ray,g,USA,2656,5,1994
98,Efimenko Zahar,g,UKR,2655,1,1985
99,Nielsen Peter Heine,g,DEN,2654,0,1973
100,Nisipeanu Liviu-Dieter,g,GER,2654,0,1976
