"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2851","0","1990"
"2","Kramnik, Vladimir","g","RUS","2801","0","1975"
"3","Caruana, Fabiano","g","USA","2795","14","1992"
"4","Giri, Anish","g","NED","2790","14","1994"
"5","Vachier-Lagrave, Maxime","g","FRA","2788","1","1990"
"6","Nakamura, Hikaru","g","USA","2787","14","1987"
"7","Aronian, Levon","g","ARM","2784","14","1982"
"8","Karjakin, Sergey","g","RUS","2779","14","1990"
"9","Ding, Liren","g","CHN","2777","0","1992"
"10","So, Wesley","g","USA","2773","0","1993"
"11","Anand, Viswanathan","g","IND","2770","14","1969"
"12","Eljanov, Pavel","g","UKR","2765","0","1983"
"13","Harikrishna, P.","g","IND","2763","2","1986"
"14","Svidler, Peter","g","RUS","2762","14","1976"
"15","Li, Chao b","g","CHN","2755","9","1989"
"16","Topalov, Veselin","g","BUL","2754","14","1975"
"17","Grischuk, Alexander","g","RUS","2752","0","1983"
"18","Mamedyarov, Shakhriyar","g","AZE","2750","9","1985"
"19","Gelfand, Boris","g","ISR","2740","9","1968"
"20","Yu, Yangyi","g","CHN","2738","0","1994"
"21","Andreikin, Dmitry","g","RUS","2736","8","1990"
"22","Wang, Hao","g","CHN","2732","9","1989"
"23","Dominguez Perez, Leinier","g","CUB","2732","0","1983"
"24","Jakovenko, Dmitry","g","RUS","2731","0","1983"
"25","Adams, Michael","g","ENG","2728","3","1971"
"26","Navara, David","g","CZE","2726","0","1985"
"27","Radjabov, Teimour","g","AZE","2726","0","1987"
"28","Vitiugov, Nikita","g","RUS","2725","10","1987"
"29","Tomashevsky, Evgeny","g","RUS","2722","0","1987"
"30","Bu, Xiangzhi","g","CHN","2719","9","1985"
"31","Wang, Yue","g","CHN","2718","0","1987"
"32","Rapport, Richard","g","HUN","2717","19","1996"
"33","Wojtaszek, Radoslaw","g","POL","2716","2","1987"
"34","Ponomariov, Ruslan","g","UKR","2712","0","1983"
"35","Ivanchuk, Vassily","g","UKR","2710","0","1969"
"36","Le, Quang Liem","g","VIE","2709","0","1991"
"37","Leko, Peter","g","HUN","2705","0","1979"
"38","Nepomniachtchi, Ian","g","RUS","2703","9","1990"
"39","Wei, Yi","g","CHN","2700","9","1999"
"40","Bacrot, Etienne","g","FRA","2698","11","1983"
"41","Ragger, Markus","g","AUT","2697","18","1988"
"42","Korobov, Anton","g","UKR","2695","18","1985"
"43","Cheparinov, Ivan","g","BUL","2695","14","1986"
"44","Malakhov, Vladimir","g","RUS","2695","2","1980"
"45","Kasimdzhanov, Rustam","g","UZB","2694","0","1979"
"46","Matlakov, Maxim","g","RUS","2693","9","1991"
"47","Sargissian, Gabriel","g","ARM","2693","9","1983"
"48","Fressinet, Laurent","g","FRA","2692","4","1981"
"49","Kryvoruchko, Yuriy","g","UKR","2692","0","1986"
"50","Rublevsky, Sergei","g","RUS","2692","0","1974"
"51","Vallejo Pons, Francisco","g","ESP","2691","23","1982"
"52","Hammer, Jon Ludvig","g","NOR","2689","9","1990"
"53","Shirov, Alexei","g","LAT","2686","11","1972"
"54","Granda Zuniga, Julio E","g","PER","2685","2","1967"
"55","Morozevich, Alexander","g","RUS","2683","0","1977"
"56","Najer, Evgeniy","g","RUS","2682","9","1977"
"57","Almasi, Zoltan","g","HUN","2682","2","1976"
"58","Ni, Hua","g","CHN","2681","18","1983"
"59","Fedoseev, Vladimir","g","RUS","2680","18","1995"
"60","Rodshtein, Maxim","g","ISR","2680","6","1989"
"61","Inarkiev, Ernesto","g","RUS","2679","9","1985"
"62","Bruzon Batista, Lazaro","g","CUB","2679","0","1982"
"63","Kamsky, Gata","g","USA","2678","18","1974"
"64","Howell, David W L","g","ENG","2678","2","1990"
"65","Bareev, Evgeny","g","CAN","2675","0","1966"
"66","Sjugirov, Sanan","g","RUS","2674","9","1993"
"67","Areshchenko, Alexander","g","UKR","2674","0","1986"
"68","Laznicka, Viktor","g","CZE","2673","9","1988"
"69","Postny, Evgeny","g","ISR","2673","4","1981"
"70","Jobava, Baadur","g","GEO","2672","13","1983"
"71","Zvjaginsev, Vadim","g","RUS","2672","9","1976"
"72","Short, Nigel D","g","ENG","2671","0","1965"
"73","Sadler, Matthew D","g","ENG","2670","2","1974"
"74","Artemiev, Vladislav","g","RUS","2669","9","1998"
"75","McShane, Luke J","g","ENG","2669","2","1984"
"76","Lysyj, Igor","g","RUS","2668","0","1987"
"77","Moiseenko, Alexander","g","UKR","2667","20","1980"
"78","Nisipeanu, Liviu-Dieter","g","GER","2667","8","1976"
"79","Safarli, Eltaj","g","AZE","2666","18","1992"
"80","Smirin, Ilia","g","ISR","2665","4","1968"
"81","Efimenko, Zahar","g","UKR","2665","3","1985"
"82","Onischuk, Alexander","g","USA","2664","0","1975"
"83","Hou, Yifan","g","CHN","2663","12","1994"
"84","Duda, Jan-Krzysztof","g","POL","2663","2","1998"
"85","Adhiban, B.","g","IND","2663","0","1992"
"86","Robson, Ray","g","USA","2663","0","1994"
"87","Kovalenko, Igor","g","LAT","2662","4","1988"
"88","Dreev, Aleksey","g","RUS","2662","0","1969"
"89","Naiditsch, Arkadij","g","AZE","2660","11","1985"
"90","Negi, Parimarjan","g","IND","2660","1","1993"
"91","Tkachiev, Vladislav","g","FRA","2660","0","1973"
"92","Meier, Georg","g","GER","2659","17","1987"
"93","Movsesian, Sergei","g","ARM","2659","9","1978"
"94","Bukavshin, Ivan","g","RUS","2658","0","1995"
"95","Sethuraman, S.P.","g","IND","2658","0","1993"
"96","Piorun, Kacper","g","POL","2657","2","1991"
"97","Shankland, Samuel L","g","USA","2656","9","1991"
"98","Akopian, Vladimir","g","ARM","2656","0","1971"
"99","Swiercz, Dariusz","g","POL","2655","9","1994"
"100","Amin, Bassem","g","EGY","2655","0","1988"
