"Rank","Name","Title","Country","Rating","Games","B-Year"
"1","Carlsen, Magnus","g","NOR","2844","0","1990"
"2","Kramnik, Vladimir","g","RUS","2801","0","1975"
"3","Giri, Anish","g","NED","2798","0","1994"
"4","Aronian, Levon","g","ARM","2792","0","1982"
"5","Caruana, Fabiano","g","USA","2787","0","1992"
"6","Nakamura, Hikaru","g","USA","2787","0","1987"
"7","Vachier-Lagrave, Maxime","g","FRA","2785","0","1990"
"8","Anand, Viswanathan","g","IND","2784","0","1969"
"9","Topalov, Veselin","g","BUL","2780","0","1975"
"10","So, Wesley","g","USA","2773","0","1993"
"11","Karjakin, Sergey","g","RUS","2769","0","1990"
"12","Ding, Liren","g","CHN","2766","0","1992"
"13","Eljanov, Pavel","g","UKR","2760","0","1983"
"14","Harikrishna, P.","g","IND","2753","2","1986"
"15","Grischuk, Alexander","g","RUS","2752","0","1983"
"16","Li, Chao b","g","CHN","2751","0","1989"
"17","Svidler, Peter","g","RUS","2751","0","1976"
"18","Mamedyarov, Shakhriyar","g","AZE","2747","0","1985"
"19","Yu, Yangyi","g","CHN","2747","0","1994"
"20","Adams, Michael","g","ENG","2744","0","1971"
"21","Gelfand, Boris","g","ISR","2735","0","1968"
"22","Navara, David","g","CZE","2734","2","1985"
"23","Andreikin, Dmitry","g","RUS","2732","0","1990"
"24","Dominguez Perez, Leinier","g","CUB","2732","0","1983"
"25","Jakovenko, Dmitry","g","RUS","2732","0","1983"
"26","Tomashevsky, Evgeny","g","RUS","2728","0","1987"
"27","Wojtaszek, Radoslaw","g","POL","2727","0","1987"
"28","Radjabov, Teimour","g","AZE","2726","0","1987"
"29","Bu, Xiangzhi","g","CHN","2724","0","1985"
"30","Rapport, Richard","g","HUN","2721","0","1996"
"31","Vitiugov, Nikita","g","RUS","2721","0","1987"
"32","Wang, Yue","g","CHN","2718","0","1987"
"33","Wang, Hao","g","CHN","2717","9","1989"
"34","Ponomariov, Ruslan","g","UKR","2712","0","1983"
"35","Ivanchuk, Vassily","g","UKR","2710","0","1969"
"36","Korobov, Anton","g","UKR","2710","0","1985"
"37","Le, Quang Liem","g","VIE","2709","6","1991"
"38","Rodshtein, Maxim","g","ISR","2708","15","1989"
"39","Wei, Yi","g","CHN","2706","0","1999"
"40","Hammer, Jon Ludvig","g","NOR","2705","9","1990"
"41","Leko, Peter","g","HUN","2705","0","1979"
"42","Kasimdzhanov, Rustam","g","UZB","2704","1","1979"
"43","Nepomniachtchi, Ian","g","RUS","2704","0","1990"
"44","Naiditsch, Arkadij","g","AZE","2702","14","1985"
"45","Sargissian, Gabriel","g","ARM","2702","0","1983"
"46","Fressinet, Laurent","g","FRA","2700","0","1981"
"47","Bacrot, Etienne","g","FRA","2697","0","1983"
"48","Ni, Hua","g","CHN","2697","0","1983"
"49","Kryvoruchko, Yuriy","g","UKR","2694","11","1986"
"50","Rublevsky, Sergei","g","RUS","2692","0","1974"
"51","Granda Zuniga, Julio E","g","PER","2688","27","1967"
"52","Malakhov, Vladimir","g","RUS","2687","0","1980"
"53","Howell, David W L","g","ENG","2685","2","1990"
"54","Shirov, Alexei","g","LAT","2684","11","1972"
"55","Cheparinov, Ivan","g","BUL","2684","9","1986"
"56","Short, Nigel D","g","ENG","2684","9","1965"
"57","Almasi, Zoltan","g","HUN","2684","0","1976"
"58","Morozevich, Alexander","g","RUS","2683","0","1977"
"59","Ragger, Markus","g","AUT","2682","4","1988"
"60","Matlakov, Maxim","g","RUS","2682","0","1991"
"61","Nisipeanu, Liviu-Dieter","g","GER","2679","0","1976"
"62","Inarkiev, Ernesto","g","RUS","2676","0","1985"
"63","Areshchenko, Alexander","g","UKR","2675","9","1986"
"64","Bareev, Evgeny","g","CAN","2675","0","1966"
"65","Vallejo Pons, Francisco","g","ESP","2675","0","1982"
"66","Bruzon Batista, Lazaro","g","CUB","2673","9","1982"
"67","Artemiev, Vladislav","g","RUS","2673","0","1998"
"68","Hou, Yifan","g","CHN","2673","0","1994"
"69","Jobava, Baadur","g","GEO","2673","0","1983"
"70","Moiseenko, Alexander","g","UKR","2673","0","1980"
"71","Najer, Evgeniy","g","RUS","2672","2","1977"
"72","McShane, Luke J","g","ENG","2671","0","1984"
"73","Postny, Evgeny","g","ISR","2668","13","1981"
"74","Lysyj, Igor","g","RUS","2668","0","1987"
"75","Kamsky, Gata","g","USA","2667","9","1974"
"76","Kovalenko, Igor","g","LAT","2667","9","1988"
"77","Sjugirov, Sanan","g","RUS","2667","0","1993"
"78","Ivanisevic, Ivan","g","SRB","2665","0","1977"
"79","Laznicka, Viktor","g","CZE","2664","2","1988"
"80","Swiercz, Dariusz","g","POL","2664","2","1994"
"81","Fedoseev, Vladimir","g","RUS","2664","0","1995"
"82","Negi, Parimarjan","g","IND","2664","0","1993"
"83","Onischuk, Alexander","g","USA","2664","0","1975"
"84","Efimenko, Zahar","g","UKR","2663","9","1985"
"85","Robson, Ray","g","USA","2663","6","1994"
"86","Sadler, Matthew D","g","ENG","2662","0","1974"
"87","Zvjaginsev, Vadim","g","RUS","2662","0","1976"
"88","Duda, Jan-Krzysztof","g","POL","2660","0","1998"
"89","Ganguly, Surya Shekhar","g","IND","2660","0","1983"
"90","Meier, Georg","g","GER","2660","0","1987"
"91","Tkachiev, Vladislav","g","FRA","2660","0","1973"
"92","Smirin, Ilia","g","ISR","2658","4","1968"
"93","Bukavshin, Ivan","g","RUS","2658","0","1995"
"94","Akopian, Vladimir","g","ARM","2656","0","1971"
"95","Amin, Bassem","g","EGY","2655","9","1988"
"96","Motylev, Alexander","g","RUS","2655","9","1979"
"97","Bologan, Viktor","g","MDA","2654","0","1971"
"98","Movsesian, Sergei","g","ARM","2653","2","1978"
"99","Adhiban, B.","g","IND","2653","0","1992"
"100","Safarli, Eltaj","g","AZE","2653","0","1992"
